block_intersection,severity_code,collision_type,person_count,ped_count,pedcyl_count,veh_count,junction_type,sdot_coldesc,in_attention,under_infl,weather,road_cond,light_cond,ped_right_way,speeding,s._col_desc,crosswalkkey,hit_parked_car,latitude,longitude
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.6722689876671,-122.31736339573135
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.732321197719386,-122.35825029729817
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.61757128944502,-122.3208358294504
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.51161897597682,-122.24832390405494
0,1,Cycles,2,0,1,1,Mid-Block (but intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.54263110064861,-122.32748207332459
0,0,Cycles,2,0,1,1,Driveway Junction,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.61794061906912,-122.33143031493557
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.69062654292201,-122.37276283282108
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,1,0,47.68304696269502,-122.30668856294176
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Overcast,Dry,Daylight,1,0,Vehicle - Pedalcyclist,1,0,47.60875622459481,-122.3368846034067
0,2,Cycles,5,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",0,1,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.627191362075216,-122.2929898347674
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.61039501200789,-122.3167793521294
0,1,Cycles,3,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.54131772853013,-122.29216433944738
0,1,Cycles,1,0,1,0,Mid-Block (not related to intersection),PEDALCYCLIST STRUCK OBJECT IN ROAD,0,0,Raining,Wet,Daylight,0,1,Vehicle - Pedalcyclist,0,0,47.6374876626805,-122.30152201268032
1,1,Cycles,3,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Overcast,Wet,Daylight,1,0,Vehicle - Pedalcyclist,1,0,47.64687291252812,-122.3351687568724
